Make,Volume,Doors,Style
Chevrolet,94,4,Sedan
Mazda,94,4,SUV
Porsche,134,4,SUV
Mercedes,122,4,SUV
Fiat,85,2,Sedan
Toyota,115,4,Sedan
Toyota,102,4,Sedan
Lexus,101,4,Sedan
Kia,121,4,Sedan
Volvo,117,4,SUV
